melody.id melody.name mean.information.content
86 "85" 5.8944783
87 "86" 3.6483843
88 "87" 3.8556285
89 "88" 4.405273
90 "89" 4.859587
91 "90" 4.815368
92 "91" 4.5982113
93 "92" 3.5254056
94 "93" 4.3010936
95 "94" 4.649496
96 "95" 4.485675
97 "96" 3.2407491
98 "97" 5.3709717
99 "98" 2.266491
100 "99" 3.6852171
101 "100" 4.5940275
102 "101" 3.9495592
103 "102" 4.0046773
104 "103" 5.204636
105 "104" 6.4052186
106 "105" 4.9562497
107 "106" 4.0406685
108 "107" 3.0598934
109 "108" 4.097425
110 "109" 4.503361
111 "110" 3.0618112
112 "111" 5.228763
113 "112" 3.6632833
114 "113" 5.7682443
115 "114" 3.795916
116 "115" 1.8031873
117 "116" 2.9048352
118 "117" 4.322215
119 "118" 4.5369577
120 "119" 3.7549682
121 "120" 5.410639
122 "121" 3.7154503
123 "122" 2.9388955
124 "123" 2.8754463
125 "124" 3.1680439
126 "125" 3.680021
127 "126" 4.203933
128 "127" 5.097802
129 "128" 3.2261155
130 "129" 3.4135842
131 "130" 6.2720942
132 "131" 3.8917289
133 "132" 3.2602103
134 "133" 3.3717194
135 "134" 4.488521
136 "135" 2.8776555
137 "136" 4.548611
138 "137" 4.0342383
139 "138" 4.0287466
140 "139" 4.1076875
141 "140" 4.311586
142 "141" 4.714825
143 "142" 3.8891263
144 "143" 3.5629725
145 "144" 3.6939843
146 "145" 4.447572
147 "146" 3.038311
148 "147" 4.2554703
149 "148" 5.327037
150 "149" 5.888098
151 "150" 4.594339
152 "151" 4.0039816
153 "152" 3.3524354
154 "153" 3.8140445
155 "154" 2.8136823
156 "155" 3.007437
157 "156" 3.4127598
158 "157" 2.7792964
159 "158" 4.1319256
160 "159" 4.38051
161 "160" 3.9877727
162 "161" 3.0165877
163 "162" 3.690339
164 "163" 3.4667702
165 "164" 4.0327616
166 "165" 4.694561
167 "166" 4.554744
168 "167" 4.024347
169 "168" 4.902053
170 "169" 3.8882904
171 "170" 3.718574
172 "171" 2.7246482
173 "172" 4.2080193
174 "173" 4.4707274
175 "174" 4.155775
176 "175" 5.165741
177 "176" 3.6194308
178 "177" 5.785002
179 "178" 4.4307833
180 "179" 4.4789886
181 "180" 3.6861198
182 "181" 3.8379972
183 "182" 4.557773
184 "183" 3.1433444
185 "184" 1.8344593
186 "185" 2.746249
187 "186" 4.537041
188 "187" 3.8408387
189 "188" 4.414885
190 "189" 5.0676355
191 "190" 3.3538485
192 "191" 2.7694607
193 "192" 3.619392
194 "193" 3.4258258
195 "194" 5.8456655
196 "195" 5.5826335
197 "196" 4.754585
198 "197" 4.915997
199 "198" 4.1182733
200 "199" 5.0417676
201 "200" 3.0124042
202 "201" 3.6228771
203 "202" 3.916762
204 "203" 6.147998
205 "204" 3.8178673
206 "205" 4.7583127
207 "206" 3.3360353
208 "207" 4.34851
209 "208" 4.346281
210 "209" 3.1144555
211 "210" 2.6609197
212 "211" 3.3222477
213 "212" 3.344604
214 "213" 4.1354303
215 "214" 3.7015698
216 "215" 4.4844074
217 "216" 3.8755097
218 "217" 4.965027
219 "218" 4.6295967
220 "219" 3.731805
221 "220" 3.0831537
222 "221" 3.8183153
223 "222" 2.7346556
224 "223" 4.158504
225 "224" 3.8051958
226 "225" 4.756109
227 "226" 3.5160177
228 "227" 3.0456104
229 "228" 4.051334
230 "229" 5.4103756
231 "230" 5.1754675
232 "231" 4.6146092
233 "232" 3.5656853
234 "233" 5.661704
235 "234" 3.4724264
236 "235" 4.0765033
237 "236" 3.5175066
238 "237" 3.954873
239 "238" 3.4698777
240 "239" 2.9805796
241 "240" 2.3269002
242 "241" 4.1329484
243 "242" 3.6253378
244 "243" 3.3046515
245 "244" 4.1310067
246 "245" 4.085682
247 "246" 4.385514
248 "247" 3.4599428
249 "248" 4.1109376
250 "249" 3.2509959
251 "250" 3.8817132
252 "251" 2.8132663
253 "252" 4.345114
254 "253" 4.2427917
255 "254" 2.9112418
256 "255" 3.7359195
257 "256" 3.881984
258 "257" 3.2497504
259 "258" 4.30755
260 "259" 4.657786
261 "260" 4.3597617
262 "261" 2.76352
263 "262" 4.0758853
264 "263" 3.0306559
265 "264" 4.8966107
266 "265" 4.118424
267 "266" 4.0675926
268 "267" 3.8714879
269 "268" 4.2221656
270 "269" 4.507825
271 "270" 2.6239967
272 "271" 4.0879297
273 "272" 3.99069
274 "273" 4.1373706
275 "274" 4.0556836
276 "275" 3.645276
277 "276" 5.188581
278 "277" 4.632481
279 "278" 4.569321
280 "279" 3.605409
281 "280" 3.8092039
282 "281" 3.4035017
283 "282" 4.063651
284 "283" 4.0544615
285 "284" 4.1801143
286 "285" 3.747232
287 "286" 3.283942
288 "287" 3.9508634
289 "288" 4.2694464
290 "289" 3.6533055
291 "290" 2.8163347
292 "291" 4.621106
293 "292" 3.1424277
294 "293" 5.1212835
295 "294" 3.8540745
296 "295" 4.1356516
297 "296" 4.666708
298 "297" 5.073739
299 "298" 2.869266
300 "299" 3.1972773
301 "300" 4.097007
302 "301" 4.031669
303 "302" 4.6989584
304 "303" 3.7879655
305 "304" 4.3619328
306 "305" 3.187182
307 "306" 4.111575
308 "307" 4.493736
309 "308" 3.4834425
310 "309" 5.487288
311 "310" 4.2361274
312 "311" 3.4155438
313 "312" 4.368413
314 "313" 2.1400902
315 "314" 5.0314345
316 "315" 4.0080748
317 "316" 5.3853164
318 "317" 2.483323
319 "318" 2.9140084
320 "319" 4.7579565
321 "320" 4.381102
322 "321" 4.1419296
323 "322" 3.4296093
324 "323" 3.7587261
325 "324" 3.7112536
326 "325" 3.9378984
327 "326" 4.404609
328 "327" 3.5995398
329 "328" 3.1124902
330 "329" 5.474665
331 "330" 3.8459864
332 "331" 4.492495
333 "332" 3.3108983
334 "333" 4.926262
335 "334" 5.3416886
336 "335" 3.5495307
337 "336" 4.7000384
338 "337" 5.072269
339 "338" 4.046346
340 "339" 5.059747
341 "340" 3.3546093
342 "341" 5.211487
343 "342" 5.146009
344 "343" 4.28485
345 "344" 3.8233967
346 "345" 4.643919
347 "346" 3.6101356
348 "347" 4.8091054
349 "348" 3.3160968
350 "349" 4.248113
351 "350" 3.5061982
352 "351" 4.1242895
